Country,Year,Sex,Age group,Sum of Obesity (Prevalence of BMI>2SD),Sum of Overweight (Prevalence of BMI>1SD),Sum of Underweight (Prevalence of BMI<minus1SD),Sum of GDP per Capita,Sum of Government Expenditure,Sum of Death due to illness / nutrition condition,Sum of Population
China,2005,Boys,19,0.014183082,0.114768578,0.252466767,,,126.73211005623116,28145415570.313015
China,2005,Girls,19,0.006916744,0.070772968,0.200776433,,,126.73211005623116,28145415570.313015
China,2006,Boys,5,0.090887343,0.213819733,0.166130593,,,126.73211005623116,28145415570.313015
China,2006,Girls,5,0.050504014,0.14282518,0.20312048,,,126.73211005623116,28145415570.313015
China,2006,Boys,6,0.096998081,0.210217173,0.182106988,,,126.73211005623116,28145415570.313015
China,2006,Girls,6,0.050341172,0.141692648,0.209305795,,,126.73211005623116,28145415570.313015
China,2006,Boys,7,0.100412437,0.21634744,0.195979826,,,126.73211005623116,28145415570.313015
China,2006,Girls,7,0.048693832,0.142724454,0.228542238,,,126.73211005623116,28145415570.313015
China,2006,Boys,8,0.099974743,0.225794342,0.208236232,,,126.73211005623116,28145415570.313015
China,2006,Girls,8,0.04517009,0.143280525,0.254823873,,,126.73211005623116,28145415570.313015
China,2006,Boys,9,0.094842518,0.23250383,0.219342066,,,126.73211005623116,28145415570.313015
China,2006,Girls,9,0.039831552,0.141250744,0.279872145,,,126.73211005623116,28145415570.313015
China,2006,Boys,10,0.084828595,0.229923339,0.229713591,,,126.73211005623116,28145415570.313015
China,2006,Girls,10,0.033164322,0.135148619,0.29281336,,,126.73211005623116,28145415570.313015
China,2006,Boys,11,0.071467549,0.216435861,0.239231338,,,126.73211005623116,28145415570.313015
China,2006,Girls,11,0.026196431,0.12553318,0.289158962,,,126.73211005623116,28145415570.313015
China,2006,Boys,12,0.057337443,0.195984549,0.247286842,,,126.73211005623116,28145415570.313015
China,2006,Girls,12,0.019972914,0.114321333,0.273123864,,,126.73211005623116,28145415570.313015
China,2006,Boys,13,0.044419299,0.172639435,0.253414509,,,126.73211005623116,28145415570.313015
China,2006,Girls,13,0.015011013,0.102956965,0.250377847,,,126.73211005623116,28145415570.313015
China,2006,Boys,14,0.033821498,0.149724618,0.257444666,,,126.73211005623116,28145415570.313015
China,2006,Girls,14,0.011413372,0.092489603,0.226445594,,,126.73211005623116,28145415570.313015
China,2006,Boys,15,0.025868761,0.129535464,0.259532154,,,126.73211005623116,28145415570.313015
China,2006,Girls,15,0.009053589,0.083693508,0.205716166,,,126.73211005623116,28145415570.313015
China,2006,Boys,16,0.020399162,0.113440736,0.260111172,,,126.73211005623116,28145415570.313015
China,2006,Girls,16,0.007757605,0.077185139,0.191186992,,,126.73211005623116,28145415570.313015
China,2006,Boys,17,0.017101742,0.102265965,0.259858874,,,126.73211005623116,28145415570.313015
China,2006,Girls,17,0.007458067,0.073617084,0.185027154,,,126.73211005623116,28145415570.313015
China,2006,Boys,18,0.015664733,0.097402596,0.258879696,,,126.73211005623116,28145415570.313015
China,2006,Girls,18,0.00817278,0.073555151,0.188912847,,,126.73211005623116,28145415570.313015
China,2006,Boys,19,0.016521114,0.124508263,0.246835924,,,126.73211005623116,28145415570.313015
China,2006,Girls,19,0.007974773,0.075758379,0.19760305,,,126.73211005623116,28145415570.313015
China,2007,Boys,5,0.100761478,0.231135141,0.159883629,,,126.73211005623116,28145415570.313015
China,2007,Girls,5,0.05605951,0.153182433,0.198486122,,,126.73211005623116,28145415570.313015
China,2007,Boys,6,0.107432965,0.227779115,0.1754051,,,126.73211005623116,28145415570.313015
China,2007,Girls,6,0.055918556,0.152071354,0.20457153,,,126.73211005623116,28145415570.313015
China,2007,Boys,7,0.111143895,0.234339964,0.188817882,,,126.73211005623116,28145415570.313015
China,2007,Girls,7,0.054162626,0.153141245,0.223500098,,,126.73211005623116,28145415570.313015
China,2007,Boys,8,0.110704613,0.244195993,0.200642435,,,126.73211005623116,28145415570.313015
China,2007,Girls,8,0.050362367,0.153635821,0.249416016,,,126.73211005623116,28145415570.313015
China,2007,Boys,9,0.105233846,0.251066176,0.211412611,,,126.73211005623116,28145415570.313015
China,2007,Girls,9,0.044566031,0.151347787,0.274213437,,,126.73211005623116,28145415570.313015
China,2007,Boys,10,0.094520431,0.248195243,0.221629322,,,126.73211005623116,28145415570.313015
China,2007,Girls,10,0.037282217,0.144736244,0.287170499,,,126.73211005623116,28145415570.313015
China,2007,Boys,11,0.080144867,0.233920587,0.231207841,,,126.73211005623116,28145415570.313015
China,2007,Girls,11,0.029618801,0.134410027,0.283794008,,,126.73211005623116,28145415570.313015
China,2007,Boys,12,0.064809751,0.212291661,0.239504659,,,126.73211005623116,28145415570.313015
China,2007,Girls,12,0.022722809,0.122400003,0.268180778,,,126.73211005623116,28145415570.313015
China,2007,Boys,13,0.050644427,0.187519807,0.245995097,,,126.73211005623116,28145415570.313015
China,2007,Girls,13,0.017182484,0.110242848,0.245904355,,,126.73211005623116,28145415570.313015
China,2007,Boys,14,0.038897464,0.16310125,0.250440721,,,126.73211005623116,28145415570.313015
China,2007,Girls,14,0.013136699,0.099060812,0.222419351,,,126.73211005623116,28145415570.313015
China,2007,Boys,15,0.029991992,0.141502744,0.252934786,,,126.73211005623116,28145415570.313015
China,2007,Girls,15,0.010467145,0.089682423,0.202065196,,,126.73211005623116,28145415570.313015
China,2007,Boys,16,0.023813225,0.124234487,0.253867322,,,126.73211005623116,28145415570.313015
China,2007,Girls,16,0.008994945,0.082766114,0.18780488,,,126.73211005623116,28145415570.313015
China,2007,Boys,17,0.020063672,0.112230784,0.25388743,,,126.73211005623116,28145415570.313015
China,2007,Girls,17,0.008654204,0.079009194,0.181780794,,,126.73211005623116,28145415570.313015
China,2007,Boys,18,0.018422011,0.107002691,0.253072702,,,126.73211005623116,28145415570.313015
China,2007,Girls,18,0.009467304,0.079013455,0.18564843,,,126.73211005623116,28145415570.313015
China,2007,Boys,19,0.019205092,0.134929525,0.241038466,,,126.73211005623116,28145415570.313015
China,2007,Girls,19,0.009180804,0.08103731,0.194358465,,,126.73211005623116,28145415570.313015
China,2008,Boys,5,0.11125178,0.249112275,0.153638992,,,126.73211005623116,28145415570.313015
China,2008,Girls,5,0.06201065,0.163990654,0.193783007,,,126.73211005623116,28145415570.313015
China,2008,Boys,6,0.118496463,0.246035512,0.168685713,,,126.73211005623116,28145415570.313015
China,2008,Girls,6,0.061897919,0.162910502,0.199761423,,,126.73211005623116,28145415570.313015
China,2008,Boys,7,0.122506874,0.253023019,0.181626474,,,126.73211005623116,28145415570.313015
China,2008,Girls,7,0.060036117,0.164023809,0.218364051,,,126.73211005623116,28145415570.313015
China,2008,Boys,8,0.122069368,0.263270566,0.19301088,,,126.73211005623116,28145415570.313015
China,2008,Girls,8,0.055956873,0.164459087,0.243889433,,,126.73211005623116,28145415570.313015
China,2008,Boys,9,0.116270303,0.270290644,0.203435445,,,126.73211005623116,28145415570.313015
China,2008,Girls,9,0.049691768,0.161910394,0.268412526,,,126.73211005623116,28145415570.313015
China,2008,Boys,10,0.104875266,0.267147087,0.213479525,,,126.73211005623116,28145415570.313015
China,2008,Girls,10,0.041768917,0.154780168,0.281374966,,,126.73211005623116,28145415570.313015
China,2008,Boys,11,0.089499259,0.252130628,0.223093571,,,126.73211005623116,28145415570.313015
China,2008,Girls,11,0.033375987,0.143725188,0.278283752,,,126.73211005623116,28145415570.313015
China,2008,Boys,12,0.072953536,0.229372649,0.231606669,,,126.73211005623116,28145415570.313015
China,2008,Girls,12,0.025765954,0.130890893,0.26311255,,,126.73211005623116,28145415570.313015
China,2008,Boys,13,0.057509236,0.203205453,0.23844159,,,126.73211005623116,28145415570.313015
China,2008,Girls,13,0.019604149,0.11791031,0.241331414,,,126.73211005623116,28145415570.313015
China,2008,Boys,14,0.044560362,0.177289115,0.243293783,,,126.73211005623116,28145415570.313015
China,2008,Girls,14,0.015071793,0.105983497,0.218318296,,,126.73211005623116,28145415570.313015
China,2008,Boys,15,0.034641042,0.154265884,0.246193612,,,126.73211005623116,28145415570.313015
China,2008,Girls,15,0.01206307,0.095998038,0.198358806,,,126.73211005623116,28145415570.313015
China,2008,Boys,16,0.027697051,0.135798778,0.247483406,,,126.73211005623116,28145415570.313015
